State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages Inhabited,Number of villages Uninhabited,Number of towns,Number of households,Persons,Males,Females,"Area
 (In sq. km)",Population per sq. km.
33,0,0,STATE,TAMIL NADU,Total,15049,930,1097,18524982,72147030,36137975,36009055,130060,555
33,0,0,STATE,TAMIL NADU,Rural,15049,930,0,9528495,37229590,18679065,18550525,116424.47,320
33,0,0,STATE,TAMIL NADU,Urban,0,0,1097,8996487,34917440,17458910,17458530,13635.53,2561
33,602,0,DISTRICT,Thiruvallur,Total,582,35,58,946949,3728104,1876062,1852042,3394,1098
33,602,0,DISTRICT,Thiruvallur,Rural,582,35,0,331697,1299709,650462,649247,2856.34,455
33,602,0,DISTRICT,Thiruvallur ##,Urban,0,0,58,615252,2428395,1225600,1202795,537.66,4517
33,602,5693,SUB-DISTRICT,Gummidipoondi,Total,76,4,3,50144,190541,95799,94742,425.4727239,448
33,602,5693,SUB-DISTRICT,Gummidipoondi,Rural,76,4,0,42148,159356,80046,79310,402.8727239,396
33,602,5693,SUB-DISTRICT,Gummidipoondi,Urban,0,0,3,7996,31185,15753,15432,22.6,1380
33,602,5694,SUB-DISTRICT,Ponneri,Total,129,10,8,100866,389862,195181,194681,674.4409203,578
33,602,5694,SUB-DISTRICT,Ponneri,Rural,129,10,0,64051,243676,121799,121877,610.1509203,399
33,602,5694,SUB-DISTRICT,Ponneri,Urban,0,0,8,36815,146186,73382,72804,64.29,2274
33,602,5695,SUB-DISTRICT,Uthukkottai,Total,91,8,1,40313,152631,75475,77156,369.5968815,413
33,602,5695,SUB-DISTRICT,Uthukkottai,Rural,91,8,0,37069,139891,69215,70676,361.5968815,387
33,602,5695,SUB-DISTRICT,Uthukkottai,Urban,0,0,1,3244,12740,6260,6480,8,1593
33,602,5696,SUB-DISTRICT,Tiruttani,Total,65,0,1,52490,211291,105568,105723,447.8612631,472
33,602,5696,SUB-DISTRICT,Tiruttani,Rural,65,0,0,41368,166510,83215,83295,435.5012631,382
33,602,5696,SUB-DISTRICT,Tiruttani,Urban,0,0,1,11122,44781,22353,22428,12.36,3623
33,602,5697,SUB-DISTRICT,Pallipattu,Total,38,1,6,49317,214073,107698,106375,351.0486755,610
33,602,5697,SUB-DISTRICT,Pallipattu,Rural,38,1,0,35533,151910,76251,75659,303.4986755,501
33,602,5697,SUB-DISTRICT,Pallipattu,Urban,0,0,6,13784,62163,31447,30716,47.55,1307
33,602,5698,SUB-DISTRICT,Thiruvallur,Total,133,5,6,103241,407048,203911,203137,667.0819572,610
33,602,5698,SUB-DISTRICT,Thiruvallur,Rural,133,5,0,73778,289759,144915,144844,615.2519572,471
33,602,5698,SUB-DISTRICT,Thiruvallur,Urban,0,0,6,29463,117289,58996,58293,51.83,2263
33,602,5699,SUB-DISTRICT,Poonamallee,Total,24,4,11,168063,659922,333307,326615,151.280978,4362
33,602,5699,SUB-DISTRICT,Poonamallee,Rural,24,4,0,16635,65162,32684,32478,49.01,1330
33,602,5699,SUB-DISTRICT,Poonamallee,Urban,0,0,11,151428,594760,300623,294137,102.27,5816
33,602,5700,SUB-DISTRICT,Ambattur,Total,12,0,10,231525,906580,457820,448760,180.4252865,5025
33,602,5700,SUB-DISTRICT,Ambattur,Rural,12,0,0,13518,54085,27585,26500,51.54,1049
33,602,5700,SUB-DISTRICT,Ambattur,Urban,0,0,10,218007,852495,430235,422260,128.89,6614
33,602,5701,SUB-DISTRICT,Mathavaram,Total,14,3,12,150990,596156,301303,294853,126.7913141,4702
33,602,5701,SUB-DISTRICT,Mathavaram,Rural,14,3,0,7597,29360,14752,14608,26.92131406,1091
33,602,5701,SUB-DISTRICT,Mathavaram,Urban,0,0,12,143393,566796,286551,280245,99.87,5675
33,603,0,DISTRICT,Chennai,Total,0,0,1,1154982,4646732,2335844,2310888,175,26553
33,603,0,DISTRICT,Chennai,Rural,0,0,0,0,0,0,0,0,0
33,603,0,DISTRICT,Chennai,Urban,0,0,1,1154982,4646732,2335844,2310888,175,26553
33,603,99999,SUB-DISTRICT,Area not under any Sub-district,Total,0,0,1,1154982,4646732,2335844,2310888,175,26553
33,603,99999,SUB-DISTRICT,Area not under any Sub-district,Rural,0,0,0,0,0,0,0,0,0
33,603,99999,SUB-DISTRICT,Area not under any Sub-district,Urban,0,0,1,1154982,4646732,2335844,2310888,175,26553
33,604,0,DISTRICT,Kancheepuram,Total,962,57,75,1006245,3998252,2012958,1985294,4483,892
33,604,0,DISTRICT,Kancheepuram,Rural,962,57,0,361365,1459916,734979,724937,3818.41,382
33,604,0,DISTRICT,Kancheepuram,Urban,0,0,75,644880,2538336,1277979,1260357,664.59,3819
